Date,Kp
2021-06-17 01:57:46,13
2021-06-17 02:57:46,23
2021-06-17 03:57:46,23
2021-06-17 04:57:46,23
2021-06-17 05:57:46,20
2021-06-17 06:57:46,20
2021-06-17 07:57:46,20
2021-06-17 08:57:46,7
2021-06-17 09:57:46,7
2021-06-17 10:57:46,7
2021-06-17 11:57:46,13
2021-06-17 12:57:46,13
2021-06-17 13:57:46,13
2021-06-17 14:57:46,17
2021-06-17 15:57:46,17
2021-06-17 16:57:46,17
2021-06-17 17:57:46,10
2021-06-17 18:57:46,10
2021-06-17 19:57:46,10
2021-06-17 20:57:46,7
2021-06-17 21:57:46,7
2021-06-17 22:57:46,7
2021-06-17 23:57:46,20
2021-06-18 00:57:46,20
2021-06-18 01:57:46,20
2021-06-18 02:57:46,17
2021-06-18 03:57:46,17
2021-06-18 04:57:46,17
2021-06-18 05:57:46,17
2021-06-18 06:57:46,17
2021-06-18 07:57:46,17
2021-06-18 08:57:46,17
2021-06-18 09:57:46,17
2021-06-18 10:57:46,17
2021-06-18 11:57:46,23
2021-06-18 12:57:46,23
2021-06-18 13:57:46,23
2021-06-18 14:57:46,10
2021-06-18 15:57:46,10
2021-06-18 16:57:46,10
2021-06-18 17:57:46,13
2021-06-18 18:57:46,13
2021-06-18 19:57:46,13
2021-06-18 20:57:46,13
2021-06-18 21:57:46,13
2021-06-18 22:57:46,13
2021-06-18 23:57:46,13
2021-06-19 00:57:46,13
2021-06-19 01:57:46,13
2021-06-19 02:57:46,10
2021-06-19 03:57:46,10
2021-06-19 04:57:46,10
2021-06-19 05:57:46,10
2021-06-19 06:57:46,10
2021-06-19 07:57:46,10
2021-06-19 08:57:46,7
2021-06-19 09:57:46,7
2021-06-19 10:57:46,7
2021-06-19 11:57:46,3
2021-06-19 12:57:46,3
2021-06-19 13:57:46,3
2021-06-19 14:57:46,7
2021-06-19 15:57:46,7
2021-06-19 16:57:46,7
2021-06-19 17:57:46,3
2021-06-19 18:57:46,3
2021-06-19 19:57:46,3
2021-06-19 20:57:46,7
2021-06-19 21:57:46,7
2021-06-19 22:57:46,7
2021-06-19 23:57:46,7
2021-06-20 00:57:46,7
2021-06-20 01:57:46,7
2021-06-20 02:57:46,10
2021-06-20 03:57:46,10
2021-06-20 04:57:46,10
2021-06-20 05:57:46,3
2021-06-20 06:57:46,3
2021-06-20 07:57:46,3
2021-06-20 08:57:46,3
2021-06-20 09:57:46,3
2021-06-20 10:57:46,3
2021-06-20 11:57:46,3
2021-06-20 12:57:46,3
2021-06-20 13:57:46,3
2021-06-20 14:57:46,3
2021-06-20 15:57:46,3
2021-06-20 16:57:46,3
2021-06-20 17:57:46,10
2021-06-20 18:57:46,10
2021-06-20 19:57:46,10
2021-06-20 20:57:46,27
2021-06-20 21:57:46,27
2021-06-20 22:57:46,27
2021-06-20 23:57:46,7
2021-06-21 00:57:46,7
2021-06-21 01:57:46,7
2021-06-21 02:57:46,3
2021-06-21 03:57:46,3
2021-06-21 04:57:46,3
2021-06-21 05:57:46,0
2021-06-21 06:57:46,0
2021-06-21 07:57:46,0
2021-06-21 08:57:46,7
2021-06-21 09:57:46,7
2021-06-21 10:57:46,7
2021-06-21 11:57:46,10
2021-06-21 12:57:46,10
2021-06-21 13:57:46,10
2021-06-21 14:57:46,10
2021-06-21 15:57:46,10
2021-06-21 16:57:46,10
2021-06-21 17:57:46,13
2021-06-21 18:57:46,13
2021-06-21 19:57:46,13
2021-06-21 20:57:46,10
2021-06-21 21:57:46,10
2021-06-21 22:57:46,10
2021-06-21 23:57:46,13
2021-06-22 00:57:46,13
2021-06-22 01:57:46,13
2021-06-22 02:57:46,23
2021-06-22 03:57:46,23
2021-06-22 04:57:46,23
2021-06-22 05:57:46,13
2021-06-22 06:57:46,13
2021-06-22 07:57:46,13
2021-06-22 08:57:46,13
2021-06-22 09:57:46,13
2021-06-22 10:57:46,13
2021-06-22 11:57:46,20
2021-06-22 12:57:46,20
2021-06-22 13:57:46,20
2021-06-22 14:57:46,10
2021-06-22 15:57:46,10
2021-06-22 16:57:46,10
2021-06-22 17:57:46,7
2021-06-22 18:57:46,7
2021-06-22 19:57:45,7
2021-06-22 20:57:45,13
2021-06-22 21:57:45,13
2021-06-22 22:57:45,13
2021-06-22 23:57:45,23
2021-06-23 00:57:45,23
2021-06-23 01:57:45,23
2021-06-23 02:57:45,10
2021-06-23 03:57:45,10
2021-06-23 04:57:45,10
2021-06-23 05:57:45,7
2021-06-23 06:57:45,7
2021-06-23 07:57:45,7
2021-06-23 08:57:45,7
2021-06-23 09:57:45,7
2021-06-23 10:57:45,7
2021-06-23 11:57:45,7
2021-06-23 12:57:45,7
2021-06-23 13:57:45,7
2021-06-23 14:57:45,3
2021-06-23 15:57:45,3
2021-06-23 16:57:45,3
2021-06-23 17:57:45,3
2021-06-23 18:57:45,3
2021-06-23 19:57:45,3
2021-06-23 20:57:45,0
2021-06-23 21:57:45,0
2021-06-23 22:57:45,0
2021-06-23 23:57:45,3
2021-06-24 00:57:45,3
2021-06-24 01:57:45,3
2021-06-24 02:57:45,7
2021-06-24 03:57:45,7
2021-06-24 04:57:45,7
2021-06-24 05:57:45,10
2021-06-24 06:57:45,10
2021-06-24 07:57:45,10
2021-06-24 08:57:45,3
2021-06-24 09:57:45,3
2021-06-24 10:57:45,3
2021-06-24 11:57:45,10
2021-06-24 12:57:45,10
2021-06-24 13:57:45,10
2021-06-24 14:57:45,10
2021-06-24 15:57:45,10
2021-06-24 16:57:45,10
2021-06-24 17:57:45,17
2021-06-24 18:57:45,17
2021-06-24 19:57:45,17
2021-06-24 20:57:45,23
2021-06-24 21:57:45,23
2021-06-24 22:57:45,23
2021-06-24 23:57:45,30
2021-06-25 00:57:45,30
2021-06-25 01:57:45,30
2021-06-25 02:57:45,17
2021-06-25 03:57:45,17
2021-06-25 04:57:45,17
2021-06-25 05:57:45,13
2021-06-25 06:57:45,13
2021-06-25 07:57:45,13
2021-06-25 08:57:45,13
2021-06-25 09:57:45,13
2021-06-25 10:57:45,13
2021-06-25 11:57:45,13
2021-06-25 12:57:45,13
2021-06-25 13:57:45,13
2021-06-25 14:57:45,10
2021-06-25 15:57:45,10
2021-06-25 16:57:45,10
2021-06-25 17:57:45,7
