Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7,imf_DNS_8
2021-11-07 22:00:00,-17,7.09e-14,0.278008299,0.040191166,4,80.6,0.276494,0.019323671,0.438043478,0.980405645,-0.09892277218470996,0.029562116445222997,0.0050018347223886525,-0.012143273892563608,0.04800797721992436,-0.06607408275508672,-0.0281198375319767,0.16287920397680097
2021-11-07 23:00:00,-19,3.91e-13,0.286307054,0.226783598,0,80.6,0.276494,0.0,0.438043478,0.980405645,0.09361449115228496,0.024104607965132533,0.005935168898851959,-0.011844595586436163,0.046468617772046306,-0.06716812556665008,-0.02767015773184238,0.1633435910966129
2021-11-08 00:00:00,-22,7.48e-14,0.298755187,0.042434188,2,80.6,0.276266,0.009661836,0.438043478,0.979597192,-0.07827935152484133,0.012011663923156586,0.006874782182598824,-0.011385321887823175,0.04486406457006594,-0.06824243600422031,-0.027216472016318955,0.16380725875738242
2021-11-08 01:00:00,-22,1.31e-13,0.298755187,0.075488539,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.03213543705070823,-0.0008059611525235329,0.007790737505912576,-0.01077186181619466,0.04319625863437687,-0.06929662008332207,-0.02675877788881003,0.1642702008512691
2021-11-08 02:00:00,-19,2.41e-13,0.286307054,0.139140927,0,80.6,0.276266,0.0,0.438043478,0.979597192,0.04184694697251173,-0.01092068896617349,0.008653097801076889,-0.010010624391020975,0.0414671409853728,-0.07033028381948006,-0.026297072852719396,0.1647324112704325
2021-11-08 03:00:00,-18,9.73e-14,0.282157676,0.055559474,2,80.6,0.276266,0.009661836,0.438043478,0.979597192,-0.035009040117706516,-0.01745354216170633,0.009431926000375082,-0.009108018631772224,0.039678652643447394,-0.07134303322821905,-0.025831354411450475,0.1651938839070321
2021-11-08 04:00:00,-13,2.17e-13,0.261410788,0.12535336,0,80.6,0.276266,0.0,0.438043478,0.979597192,0.04053541783307506,-0.02300014219999824,0.010097285036090696,-0.008070453557918543,0.03783273462899435,-0.07233447432506382,-0.025361620068407024,0.1656546126532275
2021-11-08 05:00:00,-12,1.14e-13,0.257261411,0.065265888,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.020060540680473225,-0.022249384131089442,0.010626312089438894,-0.0069043381889301245,0.03593132796240726,-0.07330421312553878,-0.02488786732699285,0.16611459140117826
2021-11-08 06:00:00,-10,4.63e-14,0.248962656,0.025813921,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.0688575173006161,-0.012625159863812201,0.01102444133736208,-0.0056160815442772355,0.03397637366407994,-0.07425185564516903,-0.02441009369061128,0.1665738140430438
2021-11-08 07:00:00,-10,3.27e-13,0.248962656,0.189394548,0,80.6,0.276266,0.0,0.438043478,0.979597192,0.07806686788237926,0.004338808892071732,0.01130418120573451,-0.004212092643429992,0.03196981275440595,-0.07517699965026853,-0.02392830491187661,0.16703227447098368
2021-11-08 08:00:00,-12,8.96e-14,0.257261411,0.051069719,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.07330702559473129,0.017715681799777852,0.01147804012043007,-0.0026987805058585022,0.029913586253778927,-0.0760792099103097,-0.023442539740244846,0.16748996657715748
2021-11-08 09:00:00,-14,8.63e-14,0.265560166,0.049171209,0,80.6,0.276266,0.0,0.438043478,0.979597192,-0.07741297034152891,0.02026257566885839,0.011558526507323065,-0.0010825541510330293,0.02780963518259265,-0.07695804294555422,-0.022952845174382647,0.1679468842537247
