Date,SymH,Density,SymH_Norm,Density_Norm,ap60,F107,MgII,ap60_Norm,F107_Norm,MgII_Norm,imf_DNS_1,imf_DNS_2,imf_DNS_3,imf_DNS_4,imf_DNS_5,imf_DNS_6,imf_DNS_7
2020-10-02 06:00:00,-23,5.06e-14,0.302904564,0.028349802,9,73.5,0.2746,0.043478261,0.399456522,0.973689809,-0.015050948031873146,0.001640208561738001,0.002260425542819572,0.0009752955962096296,-0.0028333324071860115,0.004901773159794792,-0.001071611198974462
2020-10-02 07:00:00,-20,9.07e-14,0.290456432,0.051736672,7,73.5,0.2746,0.033816425,0.399456522,0.973689809,0.013631455570737406,-0.0025999979129320986,0.0010354092795619829,0.0015652850737036639,-0.0033005840795399307,0.004946040987658509,-0.0010635229358371828
2020-10-02 08:00:00,-15,4.3e-14,0.269709544,0.023912497,12,73.5,0.2746,0.057971014,0.399456522,0.973689809,-0.01279191623434139,-0.002560148625886711,-0.0005555627162736533,0.0021527807996322376,-0.0037847440612530352,0.00499036225299609,-0.0010554344793091766
2020-10-02 09:00:00,-15,8.86e-14,0.269709544,0.050502105,6,73.5,0.2746,0.028985507,0.399456522,0.973689809,0.012812301945677982,-5.5496046628683376e-05,-0.0021816280765439037,0.002714146715043339,-0.0042863217306773355,0.005034735368138438,-0.001047346212887254
2020-10-02 10:00:00,-18,7.63e-14,0.282157676,0.043308178,5,73.5,0.2746,0.024154589,0.399456522,0.973689809,0.004963677177896225,0.001717714508528985,-0.0033392792606083957,0.003225746760984959,-0.004805826466164717,0.0050791587454163825,-0.0010392585200682397
2020-10-02 11:00:00,-18,4.44e-14,0.282157676,0.024724606,5,73.5,0.2746,0.024154589,0.399456522,0.973689809,-0.01306619993442468,0.0014806704510008412,-0.0036032569917155855,0.0036637860533375406,-0.0053436088208995754,0.005123630797160799,-0.0010311717843489582
2020-10-02 12:00:00,-18,7.76e-14,0.282157676,0.044090252,7,73.5,0.2746,0.033816425,0.399456522,0.973689809,0.00816138540806929,-0.0007819537758384121,-0.003037368950452506,0.004007263136597464,-0.005899384047395874,0.005168149935702604,-0.0010230863892262618
2020-10-02 13:00:00,-17,8.05e-14,0.278008299,0.045804053,7,73.5,0.2746,0.033816425,0.399456522,0.973689809,0.011969652344963461,-0.003788504511832338,-0.001840547291565002,0.004248732647239323,-0.006472708572999985,0.005212714573372633,-0.0010150027181969543
2020-10-02 14:00:00,-17,4.02e-14,0.278008299,0.022285064,7,73.5,0.2746,0.033816425,0.399456522,0.973689809,-0.010901137359365301,-0.0056542527216160016,-0.00021515289908536164,0.004384177951024099,-0.00706313882505828,0.005257323122501784,-0.0010069211547578533
2020-10-02 15:00:00,-23,8.19e-14,0.302904564,0.046569677,18,73.5,0.2746,0.086956522,0.399456522,0.973689809,0.010252991236265614,-0.003813611625444893,0.0016092194217688254,0.004409431691072982,-0.0076700805082773466,0.005301973995420933,-0.000998842082405818
2020-10-02 16:00:00,-28,5.67e-14,0.323651452,0.031912783,15,73.5,0.2746,0.072463768,0.399456522,0.973689809,-0.010654957894886975,0.0014174112090927548,0.0032940391810384996,0.004319632909016326,-0.008292245725872937,0.00534666560446094,-0.0009907658846376385
